city,area,parking_lot,time_available,slots_available
Simo Satu,Farris,Mackstead,5:19 PM,671
Guayabo Dulce,Yvette,Straffon,1:52 PM,883
Porto Martins,Dari,Kerfut,6:04 PM,75690
Sinuknipan,Randee,Botham,10:13 AM,3908
Tulay na Lupa,Jacobo,Neeson,10:35 PM,72617
Nanping,Dur,Rau,10:34 AM,13011
Longzhong,Antonina,Tritten,9:57 AM,6
San Isidro,Durant,Lendon,6:26 AM,39587
Shuiquan,Thorin,Mendenhall,8:14 AM,9
Bassa,Isabel,Winfindale,7:16 AM,933
Buikwe,Christophe,Offa,9:55 AM,5434
Chãos,Burt,Greggor,9:44 PM,510
Oliveirinha,Ara,Illidge,12:52 PM,8
Maués,Moria,Dunkinson,2:24 AM,9
Levuka,Hewett,Gilliatt,4:13 AM,29
Stockholm,Issi,Cicetti,5:35 PM,2828
Makabe,Rockey,Moret,6:58 AM,841
Tiraspol,Yvonne,Carrett,7:34 AM,51
Hengliang,Kaiser,Edes,2:17 AM,064
Berezivka,Colene,Badsworth,10:49 PM,99013
Ritaebang,Shermie,Sainsbury,10:16 AM,76593
Huangpo,Cherilynn,Crosse,9:37 PM,8
Crauthem,Benedikta,Godsil,8:23 AM,62781
Krasnoye,Karoly,Spradbrow,6:28 AM,9538
Chikwawa,Tamra,Silbermann,11:02 PM,4
Burgos,Gerardo,D'eye,4:10 PM,3313
Gunungsari,Gabbey,Maureen,5:05 AM,86
Montalegre,Chaddy,Gascoine,5:14 AM,36894
Van Nuys,Donelle,Tart,10:01 AM,78
Itzig,Cheston,Stanistrete,11:45 AM,66
Vitina,Kessia,Eakin,10:41 PM,1143
Vagonoremont,Danya,Paffley,6:37 PM,8244
Selkirk,Giovanna,Gerrad,12:12 AM,898
Lutun,Nerta,Drackford,2:17 AM,8558
Bergen,Lu,Hammel,4:10 AM,1
Krasnotorka,Marjory,Guisler,8:49 AM,76497
Belyy Yar,Kirsteni,Liveley,10:59 PM,3954
Progreso,Judy,Dalwood,8:59 PM,8972
Yaozhuang,Meaghan,MacGahy,1:15 PM,97
Ciranca Satu,Brady,Menat,7:38 AM,301
Nartkala,Wallas,Roadnight,12:11 PM,85586
Kutao,Massimiliano,Goullee,2:17 AM,2
Taraco,Clarinda,Lacotte,6:25 PM,29
Oslo,Kahlil,Pemble,5:19 AM,43
Lezhë,Caro,Bengtson,7:46 AM,096
Port-Cartier,Lewie,Youings,4:47 AM,50421
Tubajon,Adella,Noseworthy,10:51 AM,43571
Kovernino,Rebekkah,Blakeborough,12:42 PM,1
Lysekil,Artus,Wastell,6:39 PM,87035
Benito Juarez,Mandy,Kyngdon,2:33 AM,13705
Pedinó,Alikee,Thorneloe,3:43 PM,59600
Catriel,Rodrique,Noone,7:35 PM,6
Baixi,Earl,Malia,8:06 AM,329
Tall aḑ Ḑamān,Jerrine,Easum,3:55 PM,70578
Uva,Gerda,Scottesmoor,4:22 PM,0259
Arrah,Zach,Canniffe,3:26 AM,9
Hefu,Tedmund,Hentzer,11:21 PM,84
Sobhādero,Nanci,Traher,1:30 PM,1817
Manat,Dulciana,Gilluley,7:16 AM,531
Gaimán,Charlotta,Knights,1:12 PM,57
Songyuan,Henry,Crowe,4:04 AM,8025
Tân Châu,Arther,Grinham,8:44 AM,1060
Voronkov,Bradan,Caulkett,7:04 PM,862
Chacarita,Rutherford,Bramwich,3:24 AM,70
San Julian,Jaime,Nehls,2:57 AM,1823
Nova Venécia,Susan,Stithe,7:01 AM,597
María la Baja,Bartholemy,Blaxley,2:03 PM,6211
Kedungbacin,Renaud,Van't Hoff,3:55 PM,9
Yongxing Chengguanzhen,Wally,Laite,7:02 PM,64
Tazarine,Maire,Mannie,4:00 AM,0
Ayía Triás,Alva,Kolin,12:12 PM,09
Dongxiaokou,Shara,Willingale,12:19 PM,16992
Opočno,Montague,Griggs,11:46 AM,4757
Ban Talat Bueng,Abbi,Meanwell,8:13 PM,48645
Morón,George,Starten,5:11 PM,1
Postoloprty,Eberto,Tomkys,7:48 AM,52
Dulangan,Dud,Digle,9:50 PM,4528
Levin,Gabie,Exall,11:02 PM,1469
Gaibei,Casi,Taillant,6:21 PM,8
Sidamulya Satu,Zachery,Menzies,2:08 PM,1
Putina,Willard,Pimbley,8:41 AM,56
Taoyuan,Anna-diane,Malitrott,2:24 PM,95981
Guaramirim,Chloe,Bartke,1:15 PM,27
Rubiataba,Kaylil,Allder,7:10 AM,3
Pakemitan,Salome,Dalloway,7:36 AM,3324
Shagonar,Thorn,Menloe,7:22 AM,6440
Al Mazra‘ah ash Sharqīyah,Cherrita,Laingmaid,10:13 PM,11704
Ban Selaphum,Fidel,Huntley,1:16 PM,7
Łęki,Panchito,Pallatina,6:34 AM,18
North Cowichan,Lionello,Devonside,10:37 AM,9
Huwan,Loreen,Trundler,11:46 AM,141
Kushima,Clevie,Greenhough,9:23 AM,56321
Ambam,Agneta,Bulloch,3:13 AM,489
Vila Velha,Ewan,Easum,4:29 PM,50407
Carcavelos,Jojo,Anfossi,10:18 AM,0
Fale old settlement,Hannis,Petrosian,9:30 PM,9189
Madrid,Rhodie,Kepe,10:14 AM,7831
Chok Chai,Glynis,Gantzer,2:07 PM,93262
Battle Creek,Evelina,Minter,2:15 PM,5
Jeseník,Gladys,Doswell,10:28 PM,1
